,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths
Peru,4,4,7,1,0,2,2,2,6,4,6,9,12,25,20
Philippines,10,12,16,12,30,24,56,73,124,145,167,162,71,439,536
Republic of Korea,0,2,0,2,2,1,0,1,0,0,0,0,0,0,0
Russian Federation,,,,1,1,1,2,3,4,3,5,4,2,3,2
Rwanda,496,409,459,380,670,809,566,1 772,2 486,2 581,2 362,2 679,3 167,4 275,
Sao Tome and Principe,0,11,7,19,14,23,16,3,26,85,169,193,321,248,254
Saudi Arabia,0,0,0,2,0,0,0,2,0,0,0,0,0,0,
Senegal,500,815,649,472,553,574,741,1 935,1 678,1 587,1 524,1 602,1 226,1 515,1 275
Sierra Leone,2 848,4 326,3 611,3 573,8 188,1 734,871,324,90,50,126,157,461,328,
Solomon Islands,23,18,18,19,34,53,21,15,12,38,51,71,61,55,38
Somalia,14,23,10,5,6,45,49,45,58,15,79,54,8,,
South Africa,174,105,72,54,83,45,43,37,87,63,88,142,96,81,424
South Sudan,,1 311,1 321,406,1 053,254,263,,,,,,,,
Sri Lanka,0,0,0,0,0,1,0,1,1,0,1,4,30,52,77
Sudan,823,685,618,612,1 023,1 142,1 125,1 254,1 193,1 789,1 814,2 479,2 125,2 252,2 162
Suriname,0,1,0,1,1,0,0,1,1,1,7,18,15,23,24
Swaziland,4,4,3,1,8,13,10,17,27,17,28,30,46,62,
Syrian Arab Republic,4,1,1,0,0,1,1,1,2,2,,,,,
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Thailand,38,47,37,43,80,70,101,97,113,161,230,204,361,424,625
Timor-Leste,1,3,3,16,58,53,33,60,68,71,65,,,,
Togo,1 205,1 361,1 197,1 314,1 507,1 556,2 663,1 236,819,1 024,1 183,1 130,1 661,1 394,
Turkey,1,3,0,4,0,1,3,1,0,0,0,0,0,0,0
Turkmenistan,,,,,0,0,0,0,0,0,0,0,0,0,0
Uganda,5 921,7 277,6 585,5 958,8 431,6 296,2 372,7 003,4 252,,,,,,
United Republic of Tanzania,5 373,8 528,7 820,11 806,15 867,16 776,12 434,12 593,20 962,18 322,19 859,15 251,815,1 228,379
Uzbekistan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Vanuatu,0,0,0,1,1,2,4,5,1,5,3,14,13,4,3
Venezuela (Bolivarian Republic of),5,6,10,16,18,11,9,16,11,17,35,40,23,28,24
Viet Nam,6,6,8,14,21,26,25,20,41,18,34,50,50,91,142
Yemen,19,55,72,75,92,38,,,73,,,,,,
Zambia,3 257,3 548,3 705,4 540,4 834,3 862,3 781,6 183,6 484,7 737,8 289,9 178,9 021,9 369,
Zimbabwe,406,352,351,451,255,108,232,401,802,1 916,1 809,1 044,1 844,,
